Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
conPie-L-G3C-Zip/30,1.9463373706401924e-4,1.9387909530198008e-4,1.9557772251974336e-4,3.2579313541635195e-6,2.5920021312996368e-6,4.1451395245223815e-6
conPie-L-G3C-Zip/40,2.826447688221548e-4,2.81068191410854e-4,2.8493582539432217e-4,7.195069632553918e-6,5.2203052056770884e-6,1.033449897098601e-5
conPie-L-G3C-Zip/50,3.7562871749316436e-4,3.743886913640903e-4,3.7812447199546574e-4,6.693789488447783e-6,4.437625239880389e-6,1.0257201043105122e-5
conPie-L-G3C-Zip/60,4.805320360205342e-4,4.792006544135554e-4,4.8295954108459627e-4,6.531456119694146e-6,4.233723872878791e-6,9.914616862008195e-6
conPie-L-G3C-Zip/70,5.931959355367139e-4,5.91405879979565e-4,5.960700351804933e-4,8.889386308530155e-6,6.869283693809883e-6,1.3071100871145623e-5
conPie-L-G3C-Zip/80,7.311018258038428e-4,7.282037682179453e-4,7.355124530338088e-4,1.3810319306510365e-5,1.0082555492203735e-5,1.978877294323455e-5
conPie-L-G3C-Zip/90,8.641699273222698e-4,8.619982718702741e-4,8.692309060680331e-4,1.1871540347299564e-5,5.982054931676227e-6,2.169359829339118e-5
conPie-L-G3C-Zip/100,1.0457529323715325e-3,1.0372896513938187e-3,1.055721605898291e-3,3.613562040835917e-5,2.9474763102171706e-5,4.93993052980802e-5
conPie-L-G3I-Zip/10,3.557980161061227e-4,3.5318864230608743e-4,3.586975389127923e-4,1.0625593160108009e-5,8.273445844165003e-6,1.440048036791742e-5
conPie-L-G3I-Zip/20,2.5189606187030152e-3,2.505941390384958e-3,2.5355763324196225e-3,5.646123978607888e-5,4.812008981243815e-5,6.904516215236085e-5
conPie-L-G3I-Zip/30,8.316630205674948e-3,8.29393517867628e-3,8.351387059957957e-3,8.625718387427958e-5,5.774782194492527e-5,1.218854473371654e-4
conPie-L-G3I-Zip/40,1.9758250683228947e-2,1.9732604121002535e-2,1.9810201661980577e-2,9.884696342676948e-5,5.3335845327200914e-5,1.7824072384850636e-4
conPie-L-G3I-Zip/50,3.898555973986589e-2,3.894613869940517e-2,3.905927091013633e-2,1.2526175807444e-4,8.452963736265909e-5,2.0849293057414967e-4
conPie-L-G3I-Zip/60,6.868092083789912e-2,6.839691258666136e-2,6.924435277337695e-2,7.990755898088395e-4,4.455859257968624e-4,1.2011230200327575e-3
conPie-L-G3I-Zip/70,0.1111932904470289,0.11031159053943985,0.11229532783486851,1.8282777721060491e-3,1.4762591267638663e-3,2.224930896191727e-3
conPie-L-G3I-Zip/80,0.1655773669528935,0.16535695458009286,0.1659895289766306,4.720293621969437e-4,1.262047415816402e-4,6.296994574824704e-4
conPie-L-G3I-Zip/90,0.2384274022099232,0.23788768734377214,0.2394974425203015,1.1805093152861712e-3,5.118118339804784e-4,1.7690441284134246e-3
conPie-L-G3I-Zip/100,0.3307604661600759,0.32936425436431954,0.3324790822913325,2.262246817112247e-3,7.642435767904955e-4,2.798181693486073e-3
conPie-L-G3C-Tree/10,6.126840550042973e-5,6.110707513361532e-5,6.161592945750108e-5,8.545767778745991e-7,5.331815653650543e-7,1.5603905671241313e-6
conPie-L-G3C-Tree/20,1.342277710286084e-4,1.3376078335205712e-4,1.3499057272627524e-4,2.4077880583836603e-6,1.7739187488746423e-6,3.743102881954276e-6
conPie-L-G3C-Tree/30,2.1648872453540027e-4,2.1589722038997826e-4,2.1770762551187137e-4,3.2659735273230956e-6,1.9437702853471425e-6,5.1168054946413485e-6
conPie-L-G3C-Tree/40,3.130519801833981e-4,3.121135944270574e-4,3.1455219494586897e-4,4.583496251108811e-6,3.3852184978418714e-6,6.384673332093154e-6
conPie-L-G3C-Tree/50,4.384466108951032e-4,4.340545339850242e-4,4.48188415990995e-4,2.3320187945014214e-5,1.4287141086811896e-5,4.425266095053738e-5
conPie-L-G3C-Tree/60,5.485683468071085e-4,5.466225140251503e-4,5.518556171344542e-4,9.662081151317743e-6,6.187839810934737e-6,1.5958940208249474e-5
conPie-L-G3C-Tree/70,6.748837085647054e-4,6.731286431728046e-4,6.784780024029462e-4,9.541612234847079e-6,7.017628035596968e-6,1.4278009251292355e-5
